name,level,category,refmet_id,biomapper_id,refmet_node,bm_node,refmet_in_kg,arm,n_candidates,bm_rank,refmet_rank,rank1_score,refmet_score,score_gap,outcome,refmet_has_RM,bm_has_RM
dihydroxyphenylalanine (DOPA),MS1,multi-id (biomapper ambiguous set),CHEBI:49168,CHEBI:15765|CHEBI:192509|CHEBI:57504,CHEBI:49168,CHEBI:15765,True,chebi_filter,50,,18,1.4112,0.7054,0.7058,refmet_ranked_low,False,True
erucate (22:1n9),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:28792,CHEBI:32393,CHEBI:28792,CHEBI:32393,True,chebi_filter,50,1,16,1.4394,0.6519,0.7874,refmet_ranked_low,True,False
eugenol sulfate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133570,CHEBI:133571,RM:0028322,CHEBI:133571,True,chebi_filter,50,1,2,3.163,2.4812,0.6817,refmet_ranked_low,True,False
ferulate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:17620,CHEBI:29749,CHEBI:17620,CHEBI:29749,True,chebi_filter,50,1,2,3.1486,2.487,0.6615,refmet_ranked_low,True,False
gamma-aminobutyrate (GABA),MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:16865,CHEBI:30566,CHEBI:16865,CHEBI:30566,True,chebi_filter,50,1,,1.6028,,,refmet_absent,True,False
gamma-glutamylalanine,CURATION,divergent (different compound),CHEBI:50621,CHEBI:50619,CHEBI:50621,CHEBI:50619,True,chebi_filter,50,3,2,4.8971,2.4759,2.4212,refmet_ranked_low,False,True
gluconate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:33198,CHEBI:24265,CHEBI:33198,CHEBI:24265,True,chebi_filter,50,1,4,3.343,2.4088,0.9342,refmet_ranked_low,True,False
glutamate,CURATION,multi-id (biomapper ambiguous set),CHEBI:18237,CHEBI:16015|CHEBI:232425|CHEBI:64243|CHEBI:91250,CHEBI:18237,CHEBI:16015,True,chebi_filter,50,20,21,3.3231,0.8851,2.4381,refmet_ranked_low,False,True
glutamine,CURATION,multi-id (biomapper ambiguous set),CHEBI:28300,CHEBI:18050|CHEBI:58359,CHEBI:28300,CHEBI:18050,True,chebi_filter,50,1,16,2.4869,0.8819,1.605,refmet_ranked_low,False,True
glycerate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:33508,CHEBI:33871,CHEBI:33508,CHEBI:33871,True,chebi_filter,50,1,,4.8703,,,refmet_absent,False,False
