name,level,refmet_id,refmet_name,biomapper_id,biomapper_name,category
4-methyl-2-oxopentanoate,CURATION,48430,4-methyl-2-oxopentanoic acid,17865,4-methyl-2-oxopentanoate,same-molecule variant (stereo/charge/acid-anion)
4-methylbenzenesulfonate,MS2,27849,toluene-4-sulfonic acid,11987,4-formylbenzenesulfonate,divergent (different compound)
4-methylcatechol sulfate,CURATION,176442,4-Methylcatechol 1-O-sulfate,232803,4-methylcatechol sulfate,divergent (different compound)
4-nitrophenol,MS2,16836,4-nitrophenol,57917,4-nitrophenolate,parent/child or substring (generic vs specific)
5-aminolevulinate,MS2,17549,5-aminolevulinic acid,12109,5-aminolevulinate,same-molecule variant (stereo/charge/acid-anion)
5-dodecenoate (12:1n7),CURATION,83044,5-dodecenoic acid,83046,5-dodecenoate,same-molecule variant (stereo/charge/acid-anion)
5-hydroxylysine,CURATION,60175,5-hydroxylysine,18040,erythro-5-hydroxy-L-lysine,parent/child or substring (generic vs specific)
5_HpEPE__4_55,MS2,138392,hydroperoxyicosapentaenoic acid,90822,5-HPETE(1-),divergent (different compound)
"5alpha-androstan-3beta,17beta-diol disulfate",CURATION,133115,"5alpha-androstane-3beta,17beta-diol disulfate",133116,"5alpha-androstane-3beta,17beta-diol disulfate(2-)",same-molecule variant (stereo/charge/acid-anion)
6-hydroxyindole sulfate,CURATION,133568,6-hydroxyindole sulfate,133569,6-hydroxyindole sulfate(1-),same-molecule variant (stereo/charge/acid-anion)
6-shogaol,MS2,174643,[8]-Shogaol,10138,[6]-Shogaol,divergent (different compound)
7-methylguanine,CURATION,28664,"2-amino-7-methyl-1,7-dihydro-6H-purin-6-one",2274,7-methylguanine,divergent (different compound)
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),CURATION,83036,7alpha-hydroxy-3-oxo-4-cholestenoic acid,133803,7alpha-hydroxy-3-oxo-4-cholestenoate,same-molecule variant (stereo/charge/acid-anion)
9(10)-EpOME,MS2,34494,9(10)-EpOME,84023,9(10)-EpOME(1-),same-molecule variant (stereo/charge/acid-anion)
9-hydroxystearate,CURATION,136638,9-hydroxyoctadecanoic acid,229769,8-hydroxystearate(1-),divergent (different compound)
Beta-Leucine,MS2,72772,beta-leucine,15604|86261,(3R)-beta-leucine | (3S)-beta-leucine,multi-id (biomapper ambiguous set)
Chaulmoogric acid,MS2,27939,chaulmoogric acid,61389,(R)-chaulmoogric acid,same-molecule variant (stereo/charge/acid-anion)
Diethyl 2-methyl-3-oxosuccinate,MS2,172442,4-Heptenal diethyl acetal,16879,diethyl 2-methyl-3-oxosuccinate,divergent (different compound)
Germicidin C,MS2,218904,Germicidin C,216747,Germicidin,parent/child or substring (generic vs specific)
Glutaconic Acid,MS1,24309,glutaconic acid,15670,(E)-glutaconic acid,same-molecule variant (stereo/charge/acid-anion)
Glutamine,MS2,28300,glutamine,18050|58359,L-glutamine | L-glutamine zwitterion,multi-id (biomapper ambiguous set)
Glycocholic acid,MS1,17687,glycocholic acid,29746,glycocholate,same-molecule variant (stereo/charge/acid-anion)
Isethionate,MS2,1157,isethionic acid,61904,isethionate,same-molecule variant (stereo/charge/acid-anion)
L-Carvone,MS2,38265,carvone,15400,(-)-carvone,same-molecule variant (stereo/charge/acid-anion)
